,links
0,https://www.tripadvisor.com/Restaurant_Review-g60982-d4162751-Reviews-Pizza_Hut-Honolulu_Oahu_Hawaii.html
1,https://www.tripadvisor.com/Restaurant_Review-g60982-d7112895-Reviews-Bale_Sandwich_Shop-Honolulu_Oahu_Hawaii.html
2,https://www.tripadvisor.com/Restaurant_Review-g60982-d3163246-Reviews-CJ_s_New_York_Style_Delicatessen-Honolulu_Oahu_Hawaii.html
3,https://www.tripadvisor.com/Restaurant_Review-g60982-d434328-Reviews-Mai_Lan-Honolulu_Oahu_Hawaii.html
4,https://www.tripadvisor.com/Restaurant_Review-g60982-d4162813-Reviews-L_and_L_Drive_Inn-Honolulu_Oahu_Hawaii.html
5,https://www.tripadvisor.com/Restaurant_Review-g60982-d433895-Reviews-Michel_s_At_the_Colony_Surf-Honolulu_Oahu_Hawaii.html
6,https://www.tripadvisor.com/Restaurant_Review-g60982-d4202874-Reviews-The_Little_Oven-Honolulu_Oahu_Hawaii.html
7,https://www.tripadvisor.com/Restaurant_Review-g60982-d14914655-Reviews-Whole_Foods_Market-Honolulu_Oahu_Hawaii.html
8,https://www.tripadvisor.com/Restaurant_Review-g60982-d4368404-Reviews-Panda_Express-Honolulu_Oahu_Hawaii.html
9,https://www.tripadvisor.com/Restaurant_Review-g60982-d17763139-Reviews-Hawaiian_Aroma_Cafe-Honolulu_Oahu_Hawaii.html
10,https://www.tripadvisor.com/Restaurant_Review-g60982-d4497474-Reviews-Anykine_Grill-Honolulu_Oahu_Hawaii.html
11,https://www.tripadvisor.com/Restaurant_Review-g60982-d17749567-Reviews-Back_to_Vegas-Honolulu_Oahu_Hawaii.html
12,https://www.tripadvisor.com/Restaurant_Review-g60982-d5019199-Reviews-Honolulu_Park_Place_Cafe-Honolulu_Oahu_Hawaii.html
13,https://www.tripadvisor.com/Restaurant_Review-g60982-d837946-Reviews-Yagura_Restaurant-Honolulu_Oahu_Hawaii.html
14,https://www.tripadvisor.com/Restaurant_Review-g60982-d4544405-Reviews-Subway-Honolulu_Oahu_Hawaii.html
15,https://www.tripadvisor.com/Restaurant_Review-g60982-d434095-Reviews-Cafe_MIRO-Honolulu_Oahu_Hawaii.html
16,https://www.tripadvisor.com/Restaurant_Review-g60982-d4192560-Reviews-Nam_Fong_Restaurant-Honolulu_Oahu_Hawaii.html
17,https://www.tripadvisor.com/Restaurant_Review-g60982-d5327167-Reviews-11th_Ave_Eatery_by_M_C-Honolulu_Oahu_Hawaii.html
18,https://www.tripadvisor.com/Restaurant_Review-g60982-d15670806-Reviews-Hawaiian_Aroma_Caffe-Honolulu_Oahu_Hawaii.html
19,https://www.tripadvisor.com/Restaurant_Review-g60982-d4493899-Reviews-Hyung_Je-Honolulu_Oahu_Hawaii.html
20,https://www.tripadvisor.com/Restaurant_Review-g60982-d6030991-Reviews-Tokoname_Restaurant_Sushi_Bar-Honolulu_Oahu_Hawaii.html
21,https://www.tripadvisor.com/Restaurant_Review-g60982-d4854229-Reviews-Waikiki_Mint_Limeade-Honolulu_Oahu_Hawaii.html
22,https://www.tripadvisor.com/Restaurant_Review-g60982-d12954483-Reviews-HI_Steaks-Honolulu_Oahu_Hawaii.html
23,https://www.tripadvisor.com/Restaurant_Review-g60982-d4164978-Reviews-Happy_Garden_Inc-Honolulu_Oahu_Hawaii.html
24,https://www.tripadvisor.com/Restaurant_Review-g60982-d15679093-Reviews-Sushi_You_Honolulu-Honolulu_Oahu_Hawaii.html
25,https://www.tripadvisor.com/Restaurant_Review-g60982-d8822107-Reviews-Choqajib-Honolulu_Oahu_Hawaii.html
26,https://www.tripadvisor.com/Restaurant_Review-g60982-d5486723-Reviews-Bread_of_Life-Honolulu_Oahu_Hawaii.html
27,https://www.tripadvisor.com/Restaurant_Review-g60982-d9814910-Reviews-The_Safehouse-Honolulu_Oahu_Hawaii.html
28,https://www.tripadvisor.com/Restaurant_Review-g60982-d434279-Reviews-Plaza_Clubhouse-Honolulu_Oahu_Hawaii.html
29,https://www.tripadvisor.com/Restaurant_Review-g60982-d485886-Reviews-Sushi_Bistro_Shun-Honolulu_Oahu_Hawaii.html
30,https://www.tripadvisor.com/Restaurant_Review-g60982-d434142-Reviews-Smokehouse_BBQ_Pub-Honolulu_Oahu_Hawaii.html
31,https://www.tripadvisor.com/Restaurant_Review-g60982-d5224109-Reviews-BIC_City_Tacos-Honolulu_Oahu_Hawaii.html
32,https://www.tripadvisor.com/Restaurant_Review-g60982-d2136284-Reviews-Downbeat_Diner-Honolulu_Oahu_Hawaii.html
33,https://www.tripadvisor.com/Restaurant_Review-g60982-d4165048-Reviews-Subway-Honolulu_Oahu_Hawaii.html
34,https://www.tripadvisor.com/Restaurant_Review-g60982-d4860159-Reviews-Restaurant_Ko-Honolulu_Oahu_Hawaii.html
35,https://www.tripadvisor.com/Restaurant_Review-g60982-d5544902-Reviews-Subway-Honolulu_Oahu_Hawaii.html
36,https://www.tripadvisor.com/Restaurant_Review-g60982-d449992-Reviews-San_Nicolas_Chicharon-Honolulu_Oahu_Hawaii.html
37,https://www.tripadvisor.com/Restaurant_Review-g60982-d2156539-Reviews-The_Banyan_Court-Honolulu_Oahu_Hawaii.html
38,https://www.tripadvisor.com/Restaurant_Review-g60982-d2324514-Reviews-Bangkok_Chef-Honolulu_Oahu_Hawaii.html
39,https://www.tripadvisor.com/Restaurant_Review-g60982-d19672375-Reviews-Panda_Express-Honolulu_Oahu_Hawaii.html
40,https://www.tripadvisor.com/Restaurant_Review-g60982-d1908958-Reviews-Assaggio_Bistro_Italian-Honolulu_Oahu_Hawaii.html
41,https://www.tripadvisor.com/Restaurant_Review-g60982-d10815322-Reviews-Eating_House_1849-Honolulu_Oahu_Hawaii.html
42,https://www.tripadvisor.com/Restaurant_Review-g60982-d4211910-Reviews-Toshi_s_Delicatessen_Restaurant-Honolulu_Oahu_Hawaii.html
43,https://www.tripadvisor.com/Restaurant_Review-g60982-d4557121-Reviews-Domino_s_Pizza-Honolulu_Oahu_Hawaii.html
44,https://www.tripadvisor.com/Restaurant_Review-g60982-d3723395-Reviews-Sura_Hawaii-Honolulu_Oahu_Hawaii.html
45,https://www.tripadvisor.com/Restaurant_Review-g60982-d12388057-Reviews-Nicholii_s-Honolulu_Oahu_Hawaii.html
46,https://www.tripadvisor.com/Restaurant_Review-g60982-d736050-Reviews-Taormina_Sicilian_Cuisine-Honolulu_Oahu_Hawaii.html
